entry_id	concept_id	dag	dag_translit	dag_translat	target_lang	target_lang_gltc	source	comment_source_entry	sep_entry_id	category_zabitov
11	1	аллахІ			Agul	aghu1253	zabitov2001		9	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
13	1	аллагь			Archi	arch1244	zabitov2001		11	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
1	1	аллагь			Avar	avar1256	zabitov2001		1	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
5	1	аллагь			Bezhta	bezh1248	zabitov2001		5	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
2	1	алагь			Botlikh	botl1242	zabitov2001		2	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
14	1	аллагь			Budukh	budu1248	zabitov2001		12	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
4	1	аллагь			Chamalal	cham1309	zabitov2001		4	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
15	1	аллахІ			Chechen	chec1245	zabitov2001		13	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
8	1	аллагь			Dargwa	darg1241	zabitov2001		7	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
3	1	аллагьи			Godoberi	ghod1238	zabitov2001		3	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
7	1	аллагь			Lak	lakk1252	zabitov2001		7	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
9	1	аллагь			Lezgian	lezg1247	zabitov2001		8	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
12	1	аллагь			Rutul	rutu1240	zabitov2001		10	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
10	1	аллагь			Tabasaran	taba1259	zabitov2001		8	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
6	1	аллагь			Tsez	dido1241	zabitov2001		6	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
18	2	халикь		творец, создатель	Agul	aghu1253	zabitov2001		14	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
17	2	халикь		творец, создатель	Lezgian	lezg1247	zabitov2001		14	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
16	2	халикь		творец, создатель	Tabasaran	taba1259	zabitov2001		14	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
24	3	кьиямат			Agul	aghu1253	zabitov2001		20	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
19	3	кьиямат			Avar	avar1256	zabitov2001	(уст.)	15	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
20	3	къиямасеб къо			Avar	avar1256	zabitov2001		16	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
22	3	кьиямасса кьини			Lak	lakk1252	zabitov2001		18	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
23	3	къиямат			Lezgian	lezg1247	zabitov2001		19	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
25	3	кьиямат			Rutul	rutu1240	zabitov2001		20	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
21	3	къийамаса гъуди			Tsez	dido1241	zabitov2001		17	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
32	4	ахират			Agul	aghu1253	zabitov2001		25	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
26	4	ахират			Avar	avar1256	zabitov2001		21	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
28	4	ахират			Bezhta	bezh1248	zabitov2001		23	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
33	4	ахырат			Budukh	budu1248	zabitov2001		26	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
34	4	ахрат			Budukh	budu1248	zabitov2001		27	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
27	4	ахират			Chamalal	cham1309	zabitov2001		22	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
37	4	эхарт			Chechen	chec1245	zabitov2001		30	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
31	4	ахират			Dargwa	darg1241	zabitov2001		25	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
38	4	аьхарт			Ingush	ingu1240	zabitov2001		31	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
30	4	ахират			Lak	lakk1252	zabitov2001		25	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
35	4	эхират			Lezgian	lezg1247	zabitov2001		28	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
36	4	эхирет			Rutul	rutu1240	zabitov2001		29	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
29	4	ахират			Tsez	dido1241	zabitov2001		24	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
50	5	дженнет			Agul	aghu1253	zabitov2001		41	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
46	5	алшун			Archi	arch1244	zabitov2001		39	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
39	5	алжан			Avar	avar1256	zabitov2001		32	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
43	5	алжан			Bezhta	bezh1248	zabitov2001		36	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
40	5	арджан			Botlikh	botl1242	zabitov2001		33	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
51	5	джаьннаьт			Budukh	budu1248	zabitov2001		42	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
41	5	гІалджан			Chamalal	cham1309	zabitov2001		34	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
45	5	гьалжана			Dargwa	darg1241	zabitov2001		38	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
44	5	алжан			Lak	lakk1252	zabitov2001		37	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
48	5	женнет			Lezgian	lezg1247	zabitov2001		40	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
49	5	дженнет			Rutul	rutu1240	zabitov2001		41	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
47	5	женнет			Tabasaran	taba1259	zabitov2001		40	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
42	5	гІалжан			Tsez	dido1241	zabitov2001		35	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
52	5	джаьннаьт			Udi	udii1243	zabitov2001		42	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
56	6	сиратІ			Bezhta	bezh1248	zabitov2001		45	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
53	6	СиратІ-улІ			Chamalal	cham1309	zabitov2001		43	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
57	6	сиратІ		‘сират (мост над адом по которому должны проходить души умерших; грешники падают в ад а праведники проходят по нему в рай)’	Dargwa	darg1241	zabitov2001		45	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
54	6	ссиратІ			Lak	lakk1252	zabitov2001		44	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
55	6	сиратІ			Tsez	dido1241	zabitov2001		45	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
67	7	малаик			Agul	aghu1253	zabitov2001		53	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
71	7	мелейкду			Archi	arch1244	zabitov2001		57	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
58	7	малаик			Avar	avar1256	zabitov2001		46	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
61	7	малаик			Bezhta	bezh1248	zabitov2001		49	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
69	7	малайик			Budukh	budu1248	zabitov2001		55	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
60	7	мал¶к			Chamalal	cham1309	zabitov2001		48	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
70	7	малик			Chechen	chec1245	zabitov2001		56	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
64	7	малаик			Dargwa	darg1241	zabitov2001		52	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
59	7	малаики			Godoberi	ghod1238	zabitov2001		47	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
63	7	малаик			Lak	lakk1252	zabitov2001		51	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
66	7	малаик			Lezgian	lezg1247	zabitov2001		53	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
68	7	маллаъик			Rutul	rutu1240	zabitov2001		54	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
65	7	малаик			Tabasaran	taba1259	zabitov2001		53	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
62	7	малаик			Tsez	dido1241	zabitov2001		50	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
73	8	гьурул’ен			Archi	arch1244	zabitov2001		59	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
72	8	хIуруэн			Lak	lakk1252	zabitov2001		58	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
74	8	гьуьри		‘гурия’	Lezgian	lezg1247	zabitov2001		60	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
78	9	азраил			Agul	aghu1253	zabitov2001		2698	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
81	9	изреъил			Budukh	budu1248	zabitov2001		2701	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
75	9	азраг1ил			Chamalal	cham1309	zabitov2001		2696	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
80	9	израил			Dargwa	darg1241	zabitov2001		2700	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
76	9	эзрияэл			Lak	lakk1252	zabitov2001		2697	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
77	9	азраил			Lezgian	lezg1247	zabitov2001		2698	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
82	9	гьазриъил			Rutul	rutu1240	zabitov2001		2702	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
79	9	аьзраил			Tabasaran	taba1259	zabitov2001		2699	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
83	9	азрейил			Udi	udii1243	zabitov2001	нидж.	2703	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
84	9	гьаьзреил		ангел смерти	Udi	udii1243	zabitov2001	варт.	2704	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
89	10	джахIаннам			Agul	aghu1253	zabitov2001		64	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
85	10	жагьандаман			Avar	avar1256	zabitov2001		61	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
91	10	джаьгьаьннаьм			Budukh	budu1248	zabitov2001		66	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
86	10	жагьаннам			Lak	lakk1252	zabitov2001		62	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
88	10	жегьеннем			Lezgian	lezg1247	zabitov2001		63	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
90	10	джегьелем			Rutul	rutu1240	zabitov2001		65	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
87	10	жегьеннем			Tabasaran	taba1259	zabitov2001		63	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
92	10	джаьгьаьннаьм			Udi	udii1243	zabitov2001		67	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
102	11	джин			Agul	aghu1253	zabitov2001		75	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
101	11	жин			Archi	arch1244	zabitov2001		74	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
93	11	жен			Avar	avar1256	zabitov2001		68	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
94	11	жин			Bezhta	bezh1248	zabitov2001		69	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
104	11	джин			Budukh	budu1248	zabitov2001		76	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
96	11	джинабе			Chamalal	cham1309	zabitov2001		71	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
106	11	жин			Chechen	chec1245	zabitov2001		77	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
98	11	жинж			Dargwa	darg1241	zabitov2001		73	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
97	11	жин			Lak	lakk1252	zabitov2001		72	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром
