id,russian_name,english_name,author,type,year,source_language,target_language,link,free_acces,comment
1,Арабизмы в Табасаранском языке,Arabisms in the Tabasaran language,E. R. Ibragimova ,dissertation,2003,arabic,tabasaran,https://www.elibrary.ru/item.asp?id=16002800,no,there is no word list
2,Арабизмы в Багвалинском языке,Arabisms in the Bagvalal language,K. G. Halikov,dissertation,2000,arabic,bagvalal,https://www.elibrary.ru/item.asp?id=19168889,no,
3,Арабизмы в ингушской лексике,Arabisms in the Ingusg language language,R. M. Ozdoeva,dissertation,2002,arabic,ingusg,https://viewer.rsl.ru/ru/rsl01003308503?page=39&rotate=0&theme=white,no,
4,Арабизмы в чеченском языке,Arabisms in the Chechen language,R. T. Ramazanova,article,2020,arabic,chechen,https://cyberleninka.ru/article/n/arabizmy-v-chechenskom-yazyke/viewer,yes,only a few words
5,Функциональные особенности арабских лексем в кумыкском языке : на материале эпических произведений,Functional features of Arabic lexemes in the Kumyk language : based on the material of epic literature,L. A. Murtazalieva,dissertation,2012,arabic,kumyk,https://viewer.rsl.ru/ru/rsl01005509806?page=154&rotate=0&theme=white,no,
6,Арабские заимствования в рутульском языке ,Arabic borrowings in the Rutul language,Z. G. Kurbanova,dissertaion,1999,arabic,rutul,https://viewer.rsl.ru/ru/rsl01000222735?page=57&rotate=0&theme=white,no,no arabic graphics
7,Арабизмы в удинском языке,Arabisms in the Udi language,A. R. Kocharyan,article,2012,arabic,udi,https://moluch.ru/archive/40/4728/,yes,no arabic graphics
8,Арабский пласт лексики в Агульском языке,Arabic vocabulary in Agul labguage,K. K. Matieva,article,2020,arabic,agul,https://elibrary.ru/item.asp?id=42974095,yes,only a few words
9,Лексико-семантическое и фонетико-морфологическое освоение арабизмов в даргинском языке,Lexico-semantic and phonetic-morphological mastering of Arabisms in the Dargin language,N. I. Stoyanova,dissertation,2004,arabic,dargin,https://viewer.rsl.ru/ru/rsl01003298803?page=36&rotate=0&theme=white,no,
10,Арабские заимствования в лакском языке,Arabic loanwords in the Lak language,N. B. Kurbatayeva,dissertation,1999,arabic,lak,https://viewer.rsl.ru/ru/rsl01000283897?page=174&rotate=0&theme=white,no,
11,Заимствованная лексика чеченского языка,Borrowed vocabulary of the Chechen language,P. H. Almurzaeva,dissertation,2012,arabic; persian; turkic,chechen,https://viewer.rsl.ru/ru/rsl01005461488?page=20&rotate=0&theme=white,no,
12,Лексико-семантические группы арабских заимствований в годоберинском языке,Lexico-semantic groups of Arabic loanwords in the Godoberi language,R. M. Siragudinov,article,2017,arabic,godoberi,https://cyberleninka.ru/article/n/leksiko-semanticheskie-gruppy-arabskih-zaimstvovaniy-v-godoberinskom-yazyke/viewer,yes,no arabic graphics
13,Заимствованная лексика в Хваршинском языке,Borrowed vocabulary in the Khvarshi language,R. Sh. Karimova,book,2013,arabic; persian; turkic,khwarshi,https://search.rsl.ru/ru/record/01006615578,yes,no arabic graphics
14,Арабские лексические единицы в цахурском языке,Arabic lexical units in the Tsakhur language,M. D. Magarramov,dissertation,2005,arabic,tsakhur,https://viewer.rsl.ru/ru/rsl01002750117?page=84&rotate=0&theme=white,no,
15,Арабизмы в хайдакском диалекте даргинского языка,Arabisms in the Haidak dialect of the Dargin language,K. A. Kerimov,dissertation,2012,arabic,dargin,https://viewer.rsl.ru/ru/rsl01005492745?page=156&rotate=0&theme=white,no,
16,Роль иноязычных заимствований в развитии лексической семантики в лезгинском литературном языке,The role of foreign language borrowings in the development of lexical semantics in the Lezgian literary language,L. K. Magomedova,dissertation,2005,arabic; persian; turkic,lezgian,https://viewer.rsl.ru/ru/rsl01002800554?page=161&rotate=0&theme=white,no,no arabic graphics
17,Функциональные особенности арабских элементов в современном литературном аварском языке,Functional features of Arabic elements in the modern literary Avar language,I. G. Abdulgalilov,dissertation,2002,arabic,avar,https://viewer.rsl.ru/ru/rsl01002308116?page=155&rotate=0&theme=white,no,
18,Словарь арабских и персидских лексических заимствований в лезгинском языке,Dictionary of Arabic and Persian lexical borrowings in the Lezgian language,S. M. Zabitov; I. I. Efendiev,book,2001,arabic; persian,lezgian,https://www.lezgichal.ru/sites/default/files/media/Словарь%20арабских%20и%20персидских%20лексических%20заимствований%20в%20лезгинском%20языке.pdf,yes,
19,Словарь арабских и персидских лексических заимствований в даргинском языке,Dictionary of Arabic and Persian lexical borrowings in the Lak language,N. B. Kurbaytaeva; I. I. Efendiev,book,2005,arabic; persian,dargin,https://docs.yandex.ru/docs/view?tm=1654267741&tld=ru&lang=ru&name=Slovdarg.pdf&text=словарь%20арабских%20заимствований&url=http%3A%2F%2Fdargo.ru%2Fdict%2FSlovdarg.pdf&lr=213&mime=pdf&l10n=ru&sign=15f155d71254bf40ecee1ce51bd3870d&keyno=0&nosw=1&serpParams=tm%3D1654267741%26tld%3Dru%26lang%3Dru%26name%3DSlovdarg.pdf%26text%3D%25D1%2581%25D0%25BB%25D0%25BE%25D0%25B2%25D0%25B0%25D1%2580%25D1%258C%2B%25D0%25B0%25D1%2580%25D0%25B0%25D0%25B1%25D1%2581%25D0%25BA%25D0%25B8%25D1%2585%2B%25D0%25B7%25D0%25B0%25D0%25B8%25D0%25BC%25D1%2581%25D1%2582%25D0%25B2%25D0%25BE%25D0%25B2%25D0%25B0%25D0%25BD%25D0%25B8%25D0%25B9%26url%3Dhttp%253A%2F%2Fdargo.ru%2Fdict%2FSlovdarg.pdf%26lr%3D213%26mime%3Dpdf%26l10n%3Dru%26sign%3D15f155d71254bf40ecee1ce51bd3870d%26keyno%3D0%26nosw%3D1,yes,
20,Словарь арабских и персидских лексических заимствований в лакском языке,Dictionary of Arabic and Persian lexical borrowings in the Dargin language,N. I. Stoyanova; I. I. Efendiev,book,2002,arabic; persian,lak,http://cathedra.dgu.ru/Content/files/Филологический%20факультет/Словарь%20арабских%20и%20персидских%20заимствований%20в%20лакском%20языке.pdf,yes,
21,Ориентализмы в аварском языке,Orientalisms in the Avar language,A. N. Halunov,dissertation,1998,arabic; persian; turkic,avar,https://search.rsl.ru/ru/record/01000200889,no,
22,Арабские заимствования в лексико-семантической системе Восточно-Кавказских языков,Arabic borrowings in the lexico-semantic system of the East Caucasian languages,S. M. Zabitov,dissertation,2001,arabic,several languages,,yes,
23,Персидские лексические заимствования в системе нахско-дагестанских языков,Persian lexical borrowings in the system of the Nakh-Dagestan languages,I. I. Efendiev,dissertation,2003,persian,several languages,http://www.dslib.net/jazyki-rosii/persidskie-leksicheskie-zaimstvovanija-v-sisteme-nahsko-dagestanskih-jazykov.html,no,
24,Тюркские лексические заимствования в системе северокавказских языков,Turkic lexical borrowings in the system of North Caucasian languages,R. A. Tadinova,dissertation,2006,turkic,several languages,http://www.dslib.net/jazyki-rosii/tjurkskie-leksicheskie-zaimstvovanija-v-sisteme-severokavkazskih-jazykov.html,no,
25,Тюркские заимствования в табасаранском языке,Turkic loanwords in the Tabasaran language,S. N. Burgumova,dissertation,2006,turkic,tabasaran,https://cheloveknauka.com/tyurkskie-zaimstvovaniya-v-tabasaranskom-yazyke,no,
26,Тюркские лексические заимствования в табасаранском языке,Turkic lexical loanwords in the Tabasaran language,V. N. Zagirov,book,2013,turkic,tabasaran,https://search.rsl.ru/ru/record/01008034508,no,not sure that two books on Tabasaran is needed
27,Тюркизмы в дагестанских языках. Опыт историко - этимологического анализа,Turkisms in Dagestan languages. Experience of historical and etymological analysis,N. S. Dgidalaev,book,1990,turkic,several languages,,yes,
28,Проблема заимствований и распространения тюркизмов в годоберинском языке,The problem of borrowings and the spread of Turkisms in the Godoberi language,R. M. Siragudinov,article,2021,turkic,godoberi,https://cyberleninka.ru/article/n/problema-zaimstvovaniy-i-rasprostraneniya-tyurkizmov-v-godoberinskom-yazyke/viewer,yes,only a few words + most of them from kumyk
29,Именные тюркизы в северо-кавказских языках,Nominal Turkisms in the North Caucasian languages,R. A. Tadinova,book,2006,turkic,several languages,,yes,
30,Тюркские заимствования в агульском языке,Turkic borrowings in the Agul language,N. R. Israfilov,article,2017,turkic,agul,https://cyberleninka.ru/article/n/tyurkskie-zaimstvovaniya-v-agulskom-yazyke/viewer,yes,very small article but still...
